Name	TrTime
050603	06:29:05
050528	04:06:45
050525A	00:02:53
050509B	04:00:19
050509A	01:46:29
050507	22:43:18
050505	23:22:21
050502B	09:25:40
050422	07:52:40
050421	04:11:52
050418	11:00:35
050416B	22:35:54
050416A	11:04:44
050412	05:44:03
050410	12:14:34
050406	15:58:48
050401	14:20:15
050326	09:53:56
050319	09:31:18
050318	15:44:37
050315	20:59:43
050306	03:33:12
050223	03:09:06
050219B	21:05:51
050219A	12:40:01
050215B	02:33:43
050215A	02:15:29
050202	03:35:15
050128	04:19:55
050126	12:00:54
050124	11:30:03
050117	12:52:36
041228	10:49:14
041226	20:34:19
041224	20:20:58
041223	14:06:18
041220	22:58:27
041219C	20:30:34
041219B	15:38:48
041219A	01:42:18
041217	07:28:25
